motion;docdate
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--ak--00015.xml;Stockholm den 18             Januari 1884.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--ak--00067.xml;Stockholm den 25 Januari 1884.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--fk--00038.xml;Stockholm den 27 Januari 1884. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--ak--00030.xml;Stockholm den 27 Januari 1885.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--ak--00142.xml;Stockholm den 29 Januari 1885.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--fk--00053.xml;Stockholm den 29 Januari 1885.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--ak--00036.xml;Stockholm den 25 Januari 1886.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--ak--00137.xml;Stockholm den 28 Januari 1886.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--fk--00007.xml;Stockholm den 25 Januari 1886.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1887/mot-1887-janmar-ak--00024.xml;Stockholm den 25 januari 1887.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1887/mot-1887-janmar-ak--00131.xml;Stockholm den 28 januari 1887.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1887/mot-1887-majjul-ak--00026.xml;Stockholm den 11 maj 1887. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1888/mot-1888--ak--00024.xml;Stockholm den 23 januari 1888.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1888/mot-1888--ak--00142.xml;Stockholm den 29 januari 1888.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1888/mot-1888--ak--00157.xml;Stockholm den 29 januari 1888.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1889/mot-1889--ak--00029.xml;Stockholm den 24             januari 1889.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1889/mot-1889--ak--00139.xml;Stockholm den 26 januari 1889.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1889/mot-1889--fk--00050.xml;Stockholm den 26 januari 1889.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1890/mot-1890--ak--00043.xml;Stockholm den 24 januari 1890.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1890/mot-1890--ak--00045.xml;Stockholm den 21 januari 1890.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1890/mot-1890--ak--00214.xml;Stockholm den 7 mars 1890.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1891/mot-1891--ak--00046.xml;Stockholm den 26 januari 1591.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1891/mot-1891--ak--00184.xml;Stockholm den 2 april 1891.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1891/mot-1891--ak--00186.xml;Stockholm den 7 april 1891.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1892/mot-1892--ak--00075.xml;Stockholm den 29 januari 1892. 
