file,parliament_year,chamber,n_lines,n_cols
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00003/mot_1874__fk__00003_001.pdf,1874,fk,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1874/mot_1874__fk__00025/mot_1874__fk__00025_001.pdf,1874,fk,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00173/mot_1875__ak__00173_004.pdf,1875,ak,10,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00095/mot_1875__ak__00095_001.pdf,1875,ak,21,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__ak__00170/mot_1875__ak__00170_002.pdf,1875,ak,27,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__00041/mot_1875__fk__00041_008.pdf,1875,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__fört/mot_1875__fk__fört_003.pdf,1875,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1875/mot_1875__fk__00041/mot_1875__fk__00041_002.pdf,1875,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00002/mot_1876__ak__00002_002.pdf,1876,ak,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00084/mot_1876__ak__00084_005.pdf,1876,ak,31,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__ak__00063/mot_1876__ak__00063_002.pdf,1876,ak,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00046/mot_1876__fk__00046_003.pdf,1876,fk,17,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00001/mot_1876__fk__00001_003.pdf,1876,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1876/mot_1876__fk__00014/mot_1876__fk__00014_002.pdf,1876,fk,23,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__fört/mot_1877__ak__fört_004.pdf,1877,ak,37,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__00004/mot_1877__ak__00004_002.pdf,1877,ak,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__ak__00078/mot_1877__ak__00078_002.pdf,1877,ak,25,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__fk__00009/mot_1877__fk__00009_004.pdf,1877,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__fk__00005/mot_1877__fk__00005_004.pdf,1877,fk,38,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1877/mot_1877__fk__00038/mot_1877__fk__00038_001.pdf,1877,fk,26,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1878/mot_1878__ak__00155/mot_1878__ak__00155_001.pdf,1878,ak,23,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1878/mot_1878__ak__00010/mot_1878__ak__00010_003.pdf,1878,ak,32,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1878/mot_1878__ak__00125/mot_1878__ak__00125_002.pdf,1878,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1878/mot_1878__fk__00009/mot_1878__fk__00009_026.pdf,1878,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1878/mot_1878__fk__00030/mot_1878__fk__00030_006.pdf,1878,fk,20,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1878/mot_1878__fk__00013/mot_1878__fk__00013_004.pdf,1878,fk,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1879/mot_1879__ak__00019/mot_1879__ak__00019_001.pdf,1879,ak,27,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1879/mot_1879__ak__00020/mot_1879__ak__00020_003.pdf,1879,ak,24,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1879/mot_1879__ak__reg/mot_1879__ak__reg_002.pdf,1879,ak,30,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1879/mot_1879__fk__00003/mot_1879__fk__00003_001.pdf,1879,fk,25,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1879/mot_1879__fk__00028/mot_1879__fk__00028_002.pdf,1879,fk,41,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1879/mot_1879__fk__00001/mot_1879__fk__00001_055.pdf,1879,fk,30,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1880/mot_1880__ak__00022/mot_1880__ak__00022_001.pdf,1880,ak,25,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1880/mot_1880__ak__00121/mot_1880__ak__00121_003.pdf,1880,ak,25,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1880/mot_1880__ak__00040/mot_1880__ak__00040_003.pdf,1880,ak,30,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1880/mot_1880__fk__00041/mot_1880__fk__00041_002.pdf,1880,fk,38,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1880/mot_1880__fk__00036/mot_1880__fk__00036_002.pdf,1880,fk,38,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1880/mot_1880__fk__00030/mot_1880__fk__00030_002.pdf,1880,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1881/mot_1881__ak__00071/mot_1881__ak__00071_002.pdf,1881,ak,36,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1881/mot_1881__ak__00111/mot_1881__ak__00111_003.pdf,1881,ak,36,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1881/mot_1881__ak__00138/mot_1881__ak__00138_002.pdf,1881,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1881/mot_1881__fk__00016/mot_1881__fk__00016_001.pdf,1881,fk,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1881/mot_1881__fk__00006/mot_1881__fk__00006_163.pdf,1881,fk,32,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1881/mot_1881__fk__00006/mot_1881__fk__00006_174.pdf,1881,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1882/mot_1882__ak__00042/mot_1882__ak__00042_005.pdf,1882,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1882/mot_1882__ak__00020/mot_1882__ak__00020_001.pdf,1882,ak,24,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1882/mot_1882__ak__00111/mot_1882__ak__00111_002.pdf,1882,ak,23,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1882/mot_1882__fk__00001/mot_1882__fk__00001_016.pdf,1882,fk,14,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1882/mot_1882__fk__00022/mot_1882__fk__00022_001.pdf,1882,fk,23,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1882/mot_1882__fk__00009/mot_1882__fk__00009_005.pdf,1882,fk,29,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1883/mot_1883__ak__00045/mot_1883__ak__00045_003.pdf,1883,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1883/mot_1883__ak__00050/mot_1883__ak__00050_002.pdf,1883,ak,36,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1883/mot_1883__ak__00103/mot_1883__ak__00103_004.pdf,1883,ak,27,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1883/mot_1883__fk__00002/mot_1883__fk__00002_064.pdf,1883,fk,35,1
