motion_path	parliament_year	false_positives	xml_predicted_signee_count	extra_rate	precision	true_positives	false_negatives	unknown_signature_count	signature_item_count	false_positive_ids	false_positive_names	gold_ids	motion
data/1867/mot-1867--fk--00023.xml	1867	1	2	0.5	0.5	1	0	0	2	i-UM8fdU1UJVJ23DcbWqVD9z	i-UM8fdU1UJVJ23DcbWqVD9z (Carl Hammarhjelm)	i-QnzZpk49d9g2M6XVsGFeZi	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1867/mot-1867--fk--00023.xml
data/1875/mot-1875--ak--00067.xml	1875	1	2	0.5	0.5	1	0	1	3	i-MuZZJeVubv6LTYMAZhgoZK	i-MuZZJeVubv6LTYMAZhgoZK (Ragnar Törnebladh)	i-LuFYHhoNXD6PSHzC7CsSDs	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--ak--00067.xml
data/1881/mot-1881--ak--00162.xml	1881	1	2	0.5	0.5	1	0	0	2	i-HtqAYT2HofS4owTcoSefFQ	i-HtqAYT2HofS4owTcoSefFQ (Sigge Ljunggren)	i-FErqYyg4ctnxLzmQuzsAZ5	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1881/mot-1881--ak--00162.xml
data/1889/mot-1889--fk--00050.xml	1889	1	2	0.5	0.5	1	0	0	2	i-LkZi3hQne6xsLtDL597mit	i-LkZi3hQne6xsLtDL597mit (Christian Lundeberg)	i-Y9YbqDh3YmC3zyXjWiT1re	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1889/mot-1889--fk--00050.xml
data/1897/mot-1897--fk--00011.xml	1897	1	2	0.5	0.5	1	0	0	2	i-DywAEYAUc8R6SgTtVB1Yyw	i-DywAEYAUc8R6SgTtVB1Yyw (Hjalmar Setterberg)	i-PNvieUM2GWTgmE61U6djzk	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1897/mot-1897--fk--00011.xml
data/1903/mot-1903--ak--00064.xml	1903	1	2	0.5	0.5	1	0	0	2	i-3AJzwm9j6UU8XMvjBy9XjF	i-3AJzwm9j6UU8XMvjBy9XjF (Klas Hugo Bergendahl)	i-WJFUxfoH9MxRGxnHzAMK9D	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1903/mot-1903--ak--00064.xml
data/1911/mot-1911--ak--00088.xml	1911	1	2	0.5	0.5	1	0	1	3	i-8QhUhC7tghVhGLiXuQy6st	i-8QhUhC7tghVhGLiXuQy6st (Sven Palme)	i-2vPqRXUJK7sLEawPeFYaLa	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1911/mot-1911--ak--00088.xml
data/1938/mot-1938--fk--00152.xml	1938	1	2	0.5	0.5	1	0	1	3	i-7h8oALVXjuheXj6Zv4VA5g	i-7h8oALVXjuheXj6Zv4VA5g (Ruben Wagnsson)	i-VqHqFtpMi7Xi5LGov8xWcU	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1938/mot-1938--fk--00152.xml
data/1951/mot-1951--ak--00225.xml	1951	1	2	0.5	0.5	1	1	2	4	i-LhYyN2c3mQaesyUNSPg5Uq	i-LhYyN2c3mQaesyUNSPg5Uq (Olaus Nyberg)	i-PxJkAua7y2xMDdFhtkakAi; i-TW2v8kvC9bB35Jx86j8aCC	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1951/mot-1951--ak--00225.xml
data/1975/mot-1975--00190.xml	1975	1	2	0.5	0.5	1	1	0	2	i-DuMmQVGSnykDcj8ZwohCuA	i-DuMmQVGSnykDcj8ZwohCuA (Bertil Jonasson)	i-Af27F1xYCu7PKfDmUgU7Xb; i-TihcZVivd1iNxtjFf2UaF4	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1975/mot-1975--00190.xml
data/1975/mot-1975--01730.xml	1975	1	2	0.5	0.5	1	1	0	2	i-TPFPkNeAnPLVG6gbmTwyFe	i-TPFPkNeAnPLVG6gbmTwyFe (Gunnar Oscarsson)	i-BTQHo9TKPt4psovBo1HK4X; i-RdtwPwmDryD4dZ2sTKd25K	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1975/mot-1975--01730.xml
data/1972/mot-1972--01545.xml	1972	2	5	0.4	0.6	3	0	0	5	i-2vSoREUgDMM9du3oZhTyJR; i-7oTnqapnshRg18qXWm1AaJ	i-2vSoREUgDMM9du3oZhTyJR (Lars Schött); i-7oTnqapnshRg18qXWm1AaJ (Paul Brundin)	i-8hxDNLW9NgYYqBHg8RCZcj; i-BTQHo9TKPt4psovBo1HK4X; i-FoZGPWdjE7CaiMyuRthV17	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1972/mot-1972--01545.xml
data/1969/mot-1969--fk--00511.xml	1969	3	8	0.375	0.625	5	0	0	8	i-2vSoREUgDMM9du3oZhTyJR; i-4ZEtYkDJVkQzAPzCqTvRYF; i-PUU7m4zHNmgsoCo9JZxuNX	i-2vSoREUgDMM9du3oZhTyJR (Lars Schött); i-4ZEtYkDJVkQzAPzCqTvRYF (Holge Ottosson); i-PUU7m4zHNmgsoCo9JZxuNX (Ragnar Sveningsson)	i-2eSXk1Vkv7uy5sKwa29vbf; i-Fc95WfULHTRVFGndMbh1qx; i-KVp9dph1ZssnqUAC7MH6d3; i-UCYvi6iBMAeLh1SyARGC1i; i-VvrKWHvS5YC9avJn4Jcoqj	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1969/mot-1969--fk--00511.xml
data/1953/mot-1953--fk--00465.xml	1953	1	3	0.3333333333333333	0.6666666666666666	2	0	0	3	i-Fosqa88LPhzc5pdJM2b9et	i-Fosqa88LPhzc5pdJM2b9et (Einar Persson)	i-86UCJVshbB61vRjLxQjFvP; i-GkRjiqpt3WtaJqbS42DPxm	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1953/mot-1953--fk--00465.xml
data/199697/mot-199697-FöU-00049.xml	199697	1	3	0.3333333333333333	0.6666666666666666	2	0	0	3	i-UukxhVrpswE5ADBkFe7Q3V	i-UukxhVrpswE5ADBkFe7Q3V (Jan Björkman)	i-FpZhtERayFHq9rSuxCQ5k5; i-USjy9qPfM1AoHPrniSWX79	https://github.com/swerik-project/riksdagen-motions/blob/main/data/199697/mot-199697-FöU-00049.xml
data/1913/mot-1913--ak--00334.xml	1913	1	4	0.25	0.75	3	1	1	5	i-SBCzBgSFjEvWwT8Uzo139W	i-SBCzBgSFjEvWwT8Uzo139W (Carl Birger Hasselrot)	i-F9ewtPwkU2RmcUUoQ6XRXa; i-JNeKaAfNo39ynSv8f8tbdu; i-KpeDiXpqmHppgJ6ygKRBep; i-Lh9kYcGDBLjeWYgViArsTT	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1913/mot-1913--ak--00334.xml
data/1946/mot-1946--ak--00046.xml	1946	1	4	0.25	0.75	3	0	0	4	i-Q5eDvEJRU74CUef88BpzKH	i-Q5eDvEJRU74CUef88BpzKH (Alarik Hagård)	i-QBpQJ8nzJadauYpnxWcBWH; i-SarBm3kgakASnaHyEe9Rba; i-YC9ASb3D4X3HArthruK9Yt	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1946/mot-1946--ak--00046.xml
data/1962/mot-1962--fk--00070.xml	1962	1	4	0.25	0.75	3	1	0	4	i-Apri7FgXXxnC71KLoUptE9	i-Apri7FgXXxnC71KLoUptE9 (Erik Carlsson)	i-DjzMK2q4HBp8SxyHxFkXFq; i-DuMmQVGSnykDcj8ZwohCuA; i-M4wHZVugBn9h9Kg9ELiKnA; i-XnQDSX294nH3szRa45nm6F	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1962/mot-1962--fk--00070.xml
data/1972/mot-1972--00770.xml	1972	1	4	0.25	0.75	3	0	0	4	i-GLno3eQa9T5zWF3tzFnibf	i-GLno3eQa9T5zWF3tzFnibf (Nils-Eric Gustafsson)	i-5kU1NDcAEm4A68amDSrbNF; i-APdYmA6gEZ5MaLN6tJK7ae; i-BRbSgB6kTjTGkYknyWRHHb	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1972/mot-1972--00770.xml
