version,decade,motions,exact_matches,true_positives,false_positives,false_negatives,gold_positive_ids,predicted_positive_ids,macro_precision,macro_recall,macro_f1,mean_miss_rate,mean_extra_rate,precision,recall,f1,exact_match,exact_match_lower,exact_match_upper
v99.99.99,1860,9,4,5,1,4,9,6,0.5,0.5555555555555556,0.5185185185185185,0.4444444444444444,0.05555555555555555,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.4444444444444444,0.22244110100812936,0.6964627874359576
v99.99.99,1870,30,10,13,4,36,49,17,0.4166666666666667,0.3801587301587302,0.3766666666666667,0.6198412698412699,0.11666666666666667,0.7647058823529411,0.2653061224489796,0.3939393939393939,0.3333333333333333,0.21336046293527158,0.485416074399548
v99.99.99,1880,30,9,17,11,24,41,28,0.4037037037037037,0.4388888888888889,0.4,0.5611111111111111,0.0962962962962963,0.6071428571428571,0.4146341463414634,0.4927536231884058,0.3,0.18662163557046527,0.4519044172193685
v99.99.99,1890,30,10,11,1,62,73,12,0.35,0.36666666666666664,0.3555555555555555,0.6333333333333333,0.016666666666666666,0.9166666666666666,0.1506849315068493,0.25882352941176473,0.3333333333333333,0.21336046293527158,0.485416074399548
v99.99.99,1900,29,17,37,4,158,195,41,0.6981390257252327,0.6456107111279524,0.6427235963379796,0.3543892888720475,0.06048166392993979,0.9024390243902439,0.18974358974358974,0.3135593220338983,0.5862068965517241,0.4339452612134555,0.7213304261583889
v99.99.99,1910,30,19,46,2,97,143,48,0.875,0.7753767179996688,0.7916544117647059,0.2246232820003312,0.025,0.9583333333333334,0.32167832167832167,0.4816753926701571,0.6333333333333333,0.4817507467611476,0.7592251415339075
v99.99.99,1920,30,17,63,0,52,115,63,0.9,0.7714892623716153,0.8146986346986347,0.22851073762838467,0.0,1.0,0.5478260869565217,0.7078651685393258,0.5666666666666667,0.417973431326673,0.7025127599090644
v99.99.99,1930,29,12,71,3,55,126,74,0.8036038371791547,0.6091018177225074,0.649053414469236,0.3908981822774926,0.02398236971739694,0.9594594594594594,0.5634920634920635,0.71,0.41379310344827586,0.27866957384161106,0.5660547387865444
v99.99.99,1940,30,16,60,7,51,111,67,0.8053030303030303,0.707037037037037,0.7205508380508381,0.2929629629629629,0.0946969696969697,0.8955223880597015,0.5405405405405406,0.6741573033707865,0.5333333333333333,0.3869822549447333,0.6732606351024929
v99.99.99,1950,30,10,48,14,42,90,62,0.5516666666666666,0.5185042735042735,0.4993939393939394,0.4814957264957265,0.14833333333333334,0.7741935483870968,0.5333333333333333,0.631578947368421,0.3333333333333333,0.21336046293527158,0.485416074399548
v99.99.99,1960,30,8,43,35,47,90,78,0.4620238095238095,0.4938888888888889,0.43249287749287746,0.5061111111111111,0.27130952380952383,0.5512820512820513,0.4777777777777778,0.5119047619047619,0.26666666666666666,0.16061109125637793,0.4176603337442609
v99.99.99,1970,32,17,114,15,16,130,129,0.9157907196969697,0.8985491071428572,0.895567874670778,0.10145089285714286,0.0842092803030303,0.8837209302325582,0.8769230769230769,0.8803088803088803,0.53125,0.3894025371048325,0.6674234462901307
v99.99.99,1980,30,14,65,2,90,155,67,0.9,0.6404092204092203,0.6802604802604802,0.35959077959077956,0.03333333333333333,0.9701492537313433,0.41935483870967744,0.5855855855855856,0.4666666666666667,0.3267393648975071,0.6130177450552665
v99.99.99,1990,30,22,73,2,35,108,75,0.951388888888889,0.8711915535444947,0.8789417989417989,0.1288084464555053,0.015277777777777777,0.9733333333333334,0.6759259259259259,0.7978142076502732,0.7333333333333333,0.5823396662557391,0.8393889087436222
v99.99.99,2000,30,29,137,0,1,138,137,1.0,0.9916666666666667,0.9952380952380953,0.008333333333333333,0.0,1.0,0.9927536231884058,0.9963636363636363,0.9666666666666667,0.8559096086816552,0.9884146841385564
v99.99.99,2010,30,25,85,3,6,91,88,0.9666666666666667,0.9438071188071188,0.9540465416936005,0.0561928811928812,0.03333333333333333,0.9659090909090909,0.9340659340659341,0.9497206703910615,0.8333333333333334,0.690356484642353,0.9121855328567512
v99.99.99,2020,12,12,30,0,0,30,30,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7941833348134493,0.9960621357723556
